,Sub_Zone,Segment,Longitude,Latitude,Sed_Thick,Age,Dip,Vel,Rough,sSSE,lSSE,Max_mag
97,Alaska_Aleutian,97.0,-165.6418506,52.39264963,358.7916243,58.5249181,19.74768982,65.7930703,6.787372055,U,U,6.96
98,Alaska_Aleutian,98.0,-165.2990751,52.46873737,351.5394542,58.33530949,16.89111923,65.61102346,7.336490405,U,U,6.96
99,Alaska_Aleutian,99.0,-164.9635777,52.55478906,352.7229993,57.81648121,17.3806697,65.43013449,5.448878017,U,U,8.6
100,Alaska_Aleutian,100.0,-164.6354672,52.65637363,350.0189903,57.58092879,17.28740281,65.16101672,5.450619158,U,U,8.6
101,Alaska_Aleutian,101.0,-164.2902518,52.73414224,345.5364673,57.43246683,17.21360172,64.98227758,5.023640381,U,U,8.6
102,Alaska_Aleutian,102.0,-163.9521934,52.820211,326.0685274,57.00729745,18.18227361,64.79936419,2.265146107,U,U,8.6
103,Alaska_Aleutian,103.0,-163.6192606,52.9166162,323.9613565,56.86749469,18.76743045,64.61772203,2.116781856,U,U,8.6
104,Alaska_Aleutian,104.0,-163.2735117,52.99918507,326.3613216,56.65326094,18.33648088,64.3524949,2.577027651,U,U,8.6
105,Alaska_Aleutian,105.0,-162.9291624,53.08349304,338.5058236,56.42912274,18.00365348,64.17319066,3.480876342,U,U,8.6
106,Alaska_Aleutian,106.0,-162.5839192,53.16294291,347.6660062,56.28495595,17.72856401,64.00040703,4.255965211,U,U,8.6
107,Alaska_Aleutian,107.0,-162.2337506,53.23578718,363.8604205,56.1139313,17.72176906,63.73815576,3.435500646,U,U,8.6
108,Alaska_Aleutian,108.0,-161.8742542,53.29185774,394.5114529,56.02464639,16.25155671,63.56766788,3.0375386,U,U,8.6
109,Alaska_Aleutian,109.0,-161.5166302,53.35200023,462.9987182,55.77231647,16.25966194,63.4035488,15.56876851,U,U,8.6
110,Alaska_Aleutian,110.0,-161.1592951,53.41873037,484.0732347,55.67252648,15.80103304,63.14430774,15.52480297,U,U,8.6
111,Alaska_Aleutian,111.0,-160.7977812,53.47950334,505.9956999,55.48723933,15.64918884,62.97739991,5.514358665,U,U,8.6
112,Alaska_Aleutian,112.0,-160.4372696,53.54339902,517.7493541,55.35107456,15.2811238,62.72018893,3.184189861,U,U,8.6
113,Alaska_Aleutian,113.0,-160.0754384,53.60660047,531.0133553,55.18126388,15.08708088,62.55568399,3.742319631,U,U,5.65
114,Alaska_Aleutian,114.0,-159.7160227,53.67603149,536.4710879,55.01200926,15.1368274,62.30054895,1.92685903,U,U,5.65
115,Alaska_Aleutian,115.0,-159.3564401,53.74577458,529.6820872,54.83023999,15.50520391,62.12871236,1.97930716,U,U,5.9
116,Alaska_Aleutian,116.0,-158.99209,53.80724888,502.4586022,54.66702179,14.96533342,61.88062378,1.920249143,U,U,0.0
117,Alaska_Aleutian,117.0,-158.6328537,53.87733043,488.0801657,54.35945606,14.83158813,61.71628634,3.922159482,U,U,0.0
118,Alaska_Aleutian,118.0,-158.2767489,53.95442819,486.3636421,54.17162489,14.43756942,61.4607395,3.860812328,U,U,6.45
119,Alaska_Aleutian,119.0,-157.9180345,54.02856695,496.1830721,53.8682563,14.1086553,61.29437168,2.789876003,U,U,6.45
120,Alaska_Aleutian,120.0,-157.5617708,54.10846954,522.188094,53.59435657,13.22836983,61.04123606,2.989240204,U,U,6.45
121,Alaska_Aleutian,121.0,-157.19887,54.17777403,563.6966643,53.37461526,10.03278883,60.79388209,4.136201628,U,U,5.8
122,Alaska_Aleutian,122.0,-156.8346187,54.24344348,643.4004432,53.01001285,8.0199428,60.63630018,6.839047895,U,U,5.8
123,Alaska_Aleutian,123.0,-156.486764,54.33236215,730.2603246,52.30630277,7.506051827,60.38213395,5.07376381,U,U,5.4
124,Alaska_Aleutian,124.0,-156.134394,54.41768449,767.761532,52.2009608,6.085080979,60.1337476,4.890768876,U,U,5.4
125,Alaska_Aleutian,125.0,-155.7611245,54.47253165,758.7575876,51.79735195,6.018060318,59.98038346,4.61171732,U,U,5.4
126,Alaska_Aleutian,126.0,-155.4098191,54.55431321,676.0029912,50.24674555,6.078610698,59.73453691,2.786332107,U,U,5.4
127,Alaska_Aleutian,127.0,-155.1131238,54.6946564,599.2707207,48.85972805,6.324466279,59.48108943,2.613234659,U,U,0.0
128,Alaska_Aleutian,128.0,-154.8433777,54.85597384,578.1105198,48.22234764,7.321656052,59.31904332,2.163790476,U,U,0.0
129,Alaska_Aleutian,129.0,-154.5518058,55.00386212,578.5632789,48.09491462,7.869562955,59.06861773,2.316100275,U,U,0.0
130,Alaska_Aleutian,130.0,-154.2314517,55.1324216,561.0055592,47.44493648,7.628057883,58.81962343,2.542872574,U,U,5.73
131,Alaska_Aleutian,131.0,-153.8947395,55.24742217,545.3692813,46.94058525,7.162647529,58.56785893,3.717430398,U,U,6.14
132,Alaska_Aleutian,132.0,-153.564621,55.36804146,517.883868,45.75946526,7.027755585,58.4085516,12.45810432,U,U,6.14
133,Alaska_Aleutian,133.0,-153.2399047,55.4947059,504.9150465,45.29927009,6.718463233,58.16426394,16.01876779,U,U,6.16
134,Alaska_Aleutian,134.0,-152.9032525,55.61236424,495.4472205,44.58632621,6.287154785,57.91741016,18.0700959,U,U,6.16
135,Alaska_Aleutian,135.0,-152.54492,55.70418967,501.6131045,44.37609823,5.751378011,57.67620046,17.8789439,U,U,6.16
136,Alaska_Aleutian,136.0,-152.1817499,55.78675064,471.2461003,43.26578411,5.806070077,57.44051271,9.212437434,N,N,6.2
137,Alaska_Aleutian,137.0,-151.8447917,55.9006604,453.8690234,42.26709248,5.885606551,57.19843442,14.0127599,N,N,6.2
138,Alaska_Aleutian,138.0,-151.509008,56.02222537,459.5721108,41.95822797,6.29092873,56.95803806,33.19755915,N,N,5.9
139,Alaska_Aleutian,139.0,-151.1828226,56.14975452,467.9897012,41.07370208,6.786241773,56.71551816,20.28647276,N,N,5.9
140,Alaska_Aleutian,140.0,-150.8943899,56.30051633,502.9175558,40.67340519,7.585249197,56.5712153,23.41855684,N,N,0.0
141,Alaska_Aleutian,141.0,-150.5673031,56.4159568,521.9674727,41.07567819,5.715464599,56.33997249,22.733279,N,N,5.7
142,Alaska_Aleutian,142.0,-150.2289448,56.52187075,445.3910193,40.41420191,6.723595649,56.11039476,4.471910588,N,N,5.7
